"","group","sports"
"Aquatics","Aquatics","diving, marathon-swimming, swimming, synchronised-swimming"
"Athletics","Athletics","athletics"
"Canoe","Canoe","canoe-slalom, canoe-sprint"
"Combat Sports","Combat Sports","boxing, judo, taekwondo, wrestling"
"Cycling","Cycling","cycling-bmx, cycling-mountain-bike, cycling-road, cycling-track"
"Equestrian","Equestrian","equestrian"
"Fencing","Fencing","fencing"
"Golf","Golf","golf"
"Gymnastics","Gymnastics","artistic-gymnastics, rhythmic-gymnastics, trampoline-gymnastics"
"Other Sports","Other Sports","archery, beach-volleyball, weightlifting"
"Pentathlon & Triathlon","Pentathlon & Triathlon","modern-pentathlon, triathlon"
"Racquet Sports","Racquet Sports","badminton, table-tennis, tennis"
"Rowing","Rowing","rowing"
"Sailing","Sailing","sailing"
"Shooting","Shooting","shooting"
"Team Sports","Team Sports","basketball, football, handball, hockey, rugby-sevens, volleyball, water-polo"
