"sport","group"
"archery","Archery"
"artistic-gymnastics","Gymnastics"
"athletics","Athletics"
"badminton","Badminton"
"basketball","Basketball"
"beach-volleyball","Volleyball"
"boxing","Boxing"
"canoe-slalom","Canoe"
"canoe-sprint","Canoe"
"cycling-bmx","Cycling"
"cycling-mountain-bike","Cycling"
"cycling-road","Cycling"
"cycling-track","Cycling"
"diving","Aquatics"
"equestrian","Equestrian"
"fencing","Fencing"
"football","Football"
"handball","Handball"
"hockey","Hockey"
"judo","Judo"
"marathon-swimming","Aquatics"
"modern-pentathlon","Pentathlon"
"rhythmic-gymnastics","Gymnastics"
"rowing","Rowing"
"rugby-sevens","Rugby"
"sailing","Sailing"
"shooting","Shooting"
"swimming","Aquatics"
"synchronised-swimming","Aquatics"
"table-tennis","Table-tennis"
"taekwondo","Taekwondo"
"tennis","Tennis"
"trampoline-gymnastics","Gymnastics"
"triathlon","Triathlon"
"volleyball","Volleyball"
"water-polo","Aquatics"
"weightlifting","Weightlifting"
"wrestling","Wrestling"
