group,icon
Team Sports,200px-Football_pictogram.png
Athletics,200px-Athletics_pictogram.png
Aquatics,200px-Swimming_pictogram.png
Combat Sports,200px-Judo_pictogram.png
Rowing,200px-Rowing_pictogram.png
Racquet Sports,200px-Tennis_pictogram.png
Cycling,Cycling_(road)_pictogram.png
Other Sports,
Gymnastics,Gymnastics_(artistic)_pictogram_2.png
Shooting,200px-Shooting_pictogram.png
Sailing,200px-Sailing_pictogram.png
Canoe,200px-Canoeing_(slalom)_pictogram.png
Fencing,200px-Fencing_pictogram.png
Equestrian,200px-Equestrian_pictogram.png
Pentathlon & Triathlon,200px-Modern_pentathlon_pictogram.png
