"athletes","gender","iso3","sport","country"
"AGUIRRE Carolina","Women","COL","archery","Colombia"
"ALVARINO GARCIA Miguel","Men","ESP","archery","Spain"
"ANAGOZ Yasemin","Women","TUR","archery","Turkey"
"ANWAR Shehzana","Women","KEN","archery","Kenya"
"BALAZ Boris","Men","SVK","archery","Slovakia"
"BALDAUFF Laurence","Women","AUT","archery","Austria"
"BAYARDO Gabriela","Women","MEX","archery","Mexico"
"BJERENDAL Christine","Women","SWE","archery","Sweden"
"BOARDMAN Ernesto","Men","MEX","archery","Mexico"
"BOARI Lucilla","Women","ITA","archery","Italy"
"BRITO Leidys","Women","VEN","archery","Venezuela, Bolivarian Republic of"
"BROWN Mackenzie","Women","USA","archery","United States"
"CAMILO GONZALEZ Yessica","Women","DOM","archery","Dominican Republic"
"CANETTA Marina","Women","BRA","archery","Brazil"
"CAO Hui","Women","CHN","archery","China"
"CHANG Hye Jin","Women","KOR","archery","Korea, Republic of"
"CHOI Misun","Women","KOR","archery","Korea, Republic of"
"DALMEIDA Marcus","Men","BRA","archery","Brazil"
"DANIEL Lucas","Men","FRA","archery","France"
"DAS Atanu","Men","IND","archery","India"
"DASHIDORZHIEVA Tuiana","Women","RUS","archery","Russian Federation"
"DAVID Areneo","Men","MAW","archery","Malawi"
"DIELEMANS Mitch","Men","NED","archery","Netherlands"
"DOS SANTOS Ane Marcelle","Women","BRA","archery","Brazil"
"DUENAS Crispin","Men","CAN","archery","Canada"
"DUZELBAYEV Sultan","Men","KAZ","archery","Kazakhstan"
"EGA AGATHA Riau","Men","INA","archery","Indonesia"
"EL-NEMR Ahmed","Men","EGY","archery","Egypt"
"ELDER Robert","Men","FIJ","archery","Fiji"
"ELGHRARI Ali","Men","LBA","archery","Libya"
"ELLISON Brady","Men","USA","archery","United States"
"ESEBUA Kristine","Women","GEO","archery","Georgia"
"FERNANDEZ Antonio","Men","ESP","archery","Spain"
"FLOTO Florian","Men","GER","archery","Germany"
"FOLKARD Naomi","Women","GBR","archery","United Kingdom"
"FURUKAWA Takaharu","Men","JPN","archery","Japan"
"GALIAZZO Marco","Men","ITA","archery","Italy"
"GARRETT Zach","Men","USA","archery","United States"
"GAZOZ Mete","Men","TUR","archery","Turkey"
"GU Xuesong","Men","CHN","archery","China"
"HAYASHI Yuki","Women","JPN","archery","Japan"
"HTWE San Yu","Women","MYA","archery","Myanmar"
"HUSTON Patrick","Men","GBR","archery","United Kingdom"
"INGLEY Alice","Women","AUS","archery","Australia"
"JANTSAN Gantugs","Men","MGL","archery","Mongolia"
"JENSEN Hans Arne","Men","TGA","archery","Tonga"
"KAMARUDDIN Haziq","Men","MAS","archery","Malaysia"
"KAMINSKI Jake","Men","USA","archery","United States"
"KANG Un Ju","Women","PRK","archery","Korea, Democratic People's Republic of"
"KAO Hao-Wen","Men","TPE","archery","Taiwan, Province of China"
"KARMA Karma","Women","BHU","archery","Bhutan"
"KAWANAKA Kaori","Women","JPN","archery","Japan"
"KI Bo Bae","Women","KOR","archery","Korea, Republic of"
"KIM Woojin","Men","KOR","archery","Korea, Republic of"
"KOUASSI Rene Philippe","Men","CIV","archery","Cote d'Ivoire"
"KU Bonchan","Men","KOR","archery","Korea, Republic of"
"KUMARI Deepika","Women","IND","archery","India"
"KUOPPA Taru","Women","FIN","archery","Finland"
"LAISHRAM Bombayla Devi","Women","IND","archery","India"
"LE Chien-Ying","Women","TPE","archery","Taiwan, Province of China"
"LEE Seungyun","Men","KOR","archery","Korea, Republic of"
"LIN Shih-Chia","Women","TPE","archery","Taiwan, Province of China"
"LIPIARSKA-PALKA Karina","Women","POL","archery","Poland"
"LOBZHENIDZE Yuliya","Women","GEO","archery","Georgia"
"LONGOVA Alexandra","Women","SVK","archery","Slovakia"
"MAJHI Laxmirani","Women","IND","archery","India"
"MALAVE Elias","Men","VEN","archery","Venezuela, Bolivarian Republic of"
"MANDIA Claudia","Women","ITA","archery","Italy"
"MANSOUR Reem","Women","EGY","archery","Egypt"
"MARCHENKO Veronika","Women","UKR","archery","Ukraine"
"MARTIN Adriana","Women","ESP","archery","Spain"
"MIRCA Alexandra","Women","MDA","archery","Moldova, Republic of"
"MOHAMAD Khairul Anuar","Men","MAS","archery","Malaysia"
"MUKTAN Jitbahadur","Men","NEP","archery","Nepal"
"NAGAMINE Saori","Women","JPN","archery","Japan"
"NARIMANIDZE Khatuna","Women","GEO","archery","Georgia"
"NEMATI Zahra","Women","IRI","archery","Iran, Islamic Republic of"
"NESPOLI Mauro","Men","ITA","archery","Italy"
"NESTENG Baard Magnus","Men","NOR","archery","Norway"
"NIKITIN Sarah","Women","BRA","archery","Brazil"
"NOR HASRIN Muhammad Akmal","Men","MAS","archery","Malaysia"
"NURMSALU Laura","Women","EST","archery","Estonia"
"OLIVEIRA Bernardo","Men","BRA","archery","Brazil"
"PASQUALUCCI David","Men","ITA","archery","Italy"
"PAVLOVA Anastasia","Women","UKR","archery","Ukraine"
"PEROVA Ksenia","Women","RUS","archery","Russian Federation"
"PIIPPO Samuli","Men","FIN","archery","Finland"
"PILA Andres","Men","COL","archery","Colombia"
"PLIHON Pierre","Men","FRA","archery","France"
"POTTS Alec","Men","AUS","archery","Australia"
"PRILEPOV Anton","Men","BLR","archery","Belarus"
"PSARRA Evangelia","Women","GRE","archery","Greece"
"PUENTES PEREZ Adrian Andres","Men","CUB","archery","Cuba"
