sport,federation,group
archery,Archery,Archery
artistic-gymnastics,Gymnastics,Gymnastics
athletics,Athletics,Athletics
badminton,Badminton,Racquet Sports
basketball,Basketball,Team Sports
beach-volleyball,Volleyball,Beach Volleyball
boxing,Boxing,Combat Sports
canoe-slalom,Canoe,Canoe
canoe-sprint,Canoe,Canoe
cycling-bmx,Cycling,Cycling
cycling-mountain-bike,Cycling,Cycling
cycling-road,Cycling,Cycling
cycling-track,Cycling,Cycling
diving,Aquatics,Aquatics
equestrian,Equestrian,Equestrian
fencing,Fencing,Fencing
football,Football,Team Sports
handball,Handball,Team Sports
hockey,Hockey,Team Sports
judo,Judo,Combat Sports
marathon-swimming,Aquatics,Aquatics
modern-pentathlon,Pentathlon,Pentathlon & Triathlon
rhythmic-gymnastics,Gymnastics,Gymnastics
rowing,Rowing,Rowing
rugby-sevens,Rugby,Team Sports
sailing,Sailing,Sailing
shooting,Shooting,Shooting
swimming,Aquatics,Aquatics
synchronised-swimming,Aquatics,Aquatics
table-tennis,Table-tennis,Racquet Sports
taekwondo,Taekwondo,Combat Sports
tennis,Tennis,Racquet Sports
trampoline-gymnastics,Gymnastics,Gymnastics
triathlon,Triathlon,Pentathlon & Triathlon
volleyball,Volleyball,Team Sports
water-polo,Aquatics,Team Sports
weightlifting,Weightlifting,Weightlifting
wrestling,Wrestling,Combat Sports
